MainTopic,SubTopic,Book,Chapter,Verse,Verses

Animals,Adder,Genesis,,,"49:17"
Animals,Adder,Isaiah,,,"14:29"

Animals,Ant,Proverbs,,,"6:6; 30:25"

Animals,Antelope,Deuteronomy,,,"14:5"
Animals,Antelope,Isaiah,,,"51:20"

Animals,Bat,Leviticus,,,"11:19"
Animals,Bat,Deuteronomy,,,"14:18"
Animals,Bat,Isaiah,,,"2:20"

Animals,Bear,1 Samuel,,,"17:34; 17:36-37"
Animals,Bear,2 Samuel,,,"17:8"
Animals,Bear,2 Kings,,,"2:24"
Animals,Bear,Job,,,"38:32"
Animals,Bear,Proverbs,,,"17:12; 28:15"
Animals,Bear,Isaiah,,,"11:7; 59:11"
Animals,Bear,Lamentations,,,"3:10"
Animals,Bear,Daniel,,,"7:5"
Animals,Bear,Hosea,,,"13:8"
Animals,Bear,Amos,,,"5:19"
Animals,Bear,Revelation,,,"13:2"

Animals,Bee,Deuteronomy,,,"1:44"
Animals,Bee,Judges,,,"14:8"
Animals,Bee,Psalms,,,"118:12"
Animals,Bee,Isaiah,,,"7:18"

Animals,Behemoth,Job,,,"40:15"

Animals,Bird,Genesis,,,"1:20-22; 1:26; 1:28; 1:30; 2:19-20; 6:7; 6:20; 7:3; 7:8; 7:14; 7:21; 7:23; 8:17; 8:19-20; 9:2; 9:10; 15:10-11; 40:17; 40:19"
Animals,Bird,Leviticus,,,"1:14; 11:13; 11:46; 14:4-5; 14:6-7; 14:49-50; 14:51-53; 17:13; 20:25"
Animals,Bird,Deuteronomy,,,"4:17; 14:11; 14:20; 28:26"
Animals,Bird,1 Samuel,,,"17:44; 17:46"
Animals,Bird,2 Samuel,,,"21:10"
Animals,Bird,1 Kings,,,"4:33; 14:11; 16:4; 21:24"
Animals,Bird,Job,,,"12:7; 28:7; 28:21; 35:11; 41:5"
Animals,Bird,Psalms,,,"8:8; 11:1; 50:11; 78:27; 104:12; 104:17 124:7; 148:10"
Animals,Bird,Proverbs,,,"1:17; 6:5; 7:23; 27:8"
Animals,Bird,Ecclesiastes,,,"9:12; 10:20; 12:4"
Animals,Bird,Isaiah,,,"16:2; 18:6; 31:5"
Animals,Bird,Jeremiah,,,"4:25; 5:27; 7:33; 9:10; 12:4; 12:9; 15:3; 16:4; 19:7; 34:20"
Animals,Bird,Lamentations,,,"3:52"
Animals,Bird,Ezekiel,,,"13:20; 17:23; 29:5; 31:6; 31:13; 32:4; 38:20; 39:4; 39:17; 44:31"
Animals,Bird,Daniel,,,"2:38; 4:12; 4:14; 4:21; 4:33; 7:6"
Animals,Bird,Hosea,,,"2:18; 4:3; 7:12; 9:11; 11:11"
Animals,Bird,Amos,,,"3:5"
Animals,Bird,Zephaniah,,,"1:3"
Animals,Bird,Matthew,,,"6:26; 8:20; 13:4; 13:32"
Animals,Bird,Mark,,,"4:4; 4:32"
Animals,Bird,Luke,,,"8:5; 9:58; 12:24; 13:19"
Animals,Bird,Acts,,,"10:12; 11:6"
Animals,Bird,Romans,,,"1:23"
Animals,Bird,1 Corinthians,,,"15:39"
Animals,Bird,James,,,"3:7"
Animals,Bird,Revelation,,,"18:2; 19:17; 19:21"

Animals,Calf,Genesis,,,"18:7-8"
Animals,Calf,Exodus,,,"32:4; 32:8; 32:19-20; 32:24; 32:35"
Animals,Calf,Leviticus,,,"9:2-3; 9:8"
Animals,Calf,Deuteronomy,,,"9:16; 9:21"
Animals,Calf,1 Samuel,,,"28:24"
Animals,Calf,2 Samuel,,,"6:13"
Animals,Calf,2 Chronicles,,,"11:15"
Animals,Calf,Nehemiah,,,"9:18"
Animals,Calf,Psalms,,,"29:6; 106:19"
Animals,Calf,Proverbs,,,"15:17"
Animals,Calf,Isaiah,,,"11:6; 27:10"
Animals,Calf,Jeremiah,,,"31:18; 34:18-19"
Animals,Calf,Hosea,,,"8:5-6"
Animals,Calf,Luke,,,"15:23; 15:27; 15:30"
Animals,Calf,Acts,,,"7:41"
Animals,Calf,Revelation,,,"4:7"

Animals,Caterpillar,1 Kings,,,"8:37"
Animals,Caterpillar,2 Chronicles,,,"6:28"
Animals,Caterpillar,Psalms,,,"78:46"
Animals,Caterpillar,Isaiah,,,"33:4"
Animals,Caterpillar,Joel,,,"1:4; 2:25"

Animals,Chameleon,Leviticus,,,"11:30"

Animals,Chamois,Deuteronomy,,,"14:5"

Animals,Crane,Isaiah,,,"38:14"
Animals,Crane,Jeremiah,,,"8:7"

Animals,Dove,Genesis,,,"8:8-12"
Animals,Dove,Psalms,,,55:6; 68:13; 74:19"
Animals,Dove,Song of Songs,,,2:14; 5:2; 6:9"
Animals,Dove,Isaiah,,,"38:14"
Animals,Dove,Jeremiah,,,"48:28"
Animals,Dove,Hosea,,,"7:11; 11:11"
Animals,Dove,Matthew,,,"3:16"
Animals,Dove,Mark,,,"1:10"
Animals,Dove,Luke,,,"3:22"
Animals,Dove,John,,,"1:32"

Animals,Falcon,Deuteronomy,,,"14:13"


Animals,Gazelle,Deuteronomy,,,"12:15; 12:22; 14:5; 15:22"
Animals,Gazelle,2 Samuel,,,"2:18"
Animals,Gazelle,Proverbs,,,"6:5"
Animals,Gazelle,Song of Songs,,,"8:14"
Animals,Gazelle,Isaiah,,,"13:14"

Animals,Gecko,Leviticus,,,"11:30"

Animals,Goat,Genesis,,,"15:9; 27:9; 27:16; 30:32-33; 30:35; 31:10; 31:12; 31:38; 32:14; 37:31; 38:17; 38:20; 38:23"
Animals,Goat,Exodus,,,"12:5; 23:19; 25:4; 26:7; 34:26; 35:6; 35:23; 35:26; 36:14"
Animals,Goat,Leviticus,,,"1:10; 3:12; 4:23-24; 4:28; 5:6; 7:23; 9:3; 9:15; 10:16; 16:5; 16:7-10; 16:15; 16:20-22; 16:26-27; 17:3; 17:7; 22:19; 22:27; 23:19"
Animals,Goat,Numbers,,,"7:16-17; 7:22-23; 7:28-29; 7:34-35; 7:40-41; 7:46-47; 7:52-53; 7:58-59; 7:64-65; 7:70-71; 7:76-77; 7:82-83; 7:87-88; 15:11; 15:24; 15:27; 18:17; 28:15; 28:22; 28:30; 29:5; 29:11; 29:16; 29:19; 29:22; 29:25; 29:28; 29:31; 29:34; 29:38; 31:20"
Animals,Goat,Deuteronomy,,,"14:4-5; 14:21; 32:14"
Animals,Goat,Judges,,,"6:19; 13:15; 13:19; 14:6; 15:1"
Animals,Goat,1 Samuel,,,"10:3; 16:20; 19:13; 19:16; 24:2; 25:2"
Animals,Goat,1 Kings,,,"20:27"
Animals,Goat,2 Chronicles,,,"11:15; 17:11; 29:21; 29:23; 35:7"
Animals,Goat,Ezra,,,"6:17; 8:35"
Animals,Goat,Job,,,"39:1"
Animals,Goat,Psalms,,,"50:9; 50:13; 66:15; 104:18"
Animals,Goat,Proverbs,,,"27:-26-27; 30:31"
Animals,Goat,Song of Songs,,,"1:8; 4:1; 6:5"
Animals,Goat,Isaiah,,,"1:11; 11:6; 13:21; 34:6; 34:14"
Animals,Goat,Jeremiah,,,"50:8; 51:40"
Animals,Goat,Ezekiel,,,"27:21; 34:17; 39:18; 43:22; 43:25; 45:23"
Animals,Goat,Daniel,,,"8:5; 8:8; 8:21"
Animals,Goat,Zechariash,,,"10:3"
Animals,Goat,Matthew,,,"25:32-33; 25:33"
Animals,Goat,Luke,,,"15:29"
Animals,Goat,Hebrews,,,"9:12-13; 9:19; 10:4; 11:37"

Animals,Grasshopper,Leviticus,,,"11:22"
Animals,Grasshopper,Ecclesiastes,,,"12:5"
Animals,Grasshopper,Joel,,,"1:4; 2:25"
Animals,Grasshopper,Nahum,,,"3:15-16"

Animals,Heron,Leviticus,,,"11:19"
Animals,Heron,Deuteronomy,,,"14:18"

Animals,Hoopoe,Leviticus,,,"11:19"
Animals,Hoopoe,Deuteronomy,,,"14:18"

Animals,Ibex,Deuteronomy,,,"14:5"

Animals,Kite,Leviticus,,,"11:14"
Animals,Kite,Deuteronomy,,,"14:13"

Animals,Leopard,Isaiah,,,"11:6"
Animals,Leopard,Jeremiah,,,"5:6; 13:23"
Animals,Leopard,Daniel,,,"7:6"
Animals,Leopard,Hosea,,,"13:7"
Animals,Leopard,Revelation,,,"13:2"

Animals,Leviathan,Job,,,"3:8; 41:1"
Animals,Leviathan,Psalms,,,"74:14; 104:26"
Animals,Leviathan,Isaiah,,,"27:1"

Animals,Lizard,Leviticus,,,"11:29-30"
Animals,Lizard,Proverbs,,,"30:28"

Animals,Partridge,1 Samuel,,,"26:20"
Animals,Partridge,Jeremiah,,,"17:11"

Animals,Pelican,Deuteronomy,,,"14:17"
Animals,Pelican,Psalms,,,"102:6"
Animals,Pelican,Isaiah,,,"34:11"
Animals,Pelican,Zephaniah,,,"2:14"

Animals,Pigeon,Genesis,,,"15:9"
Animals,Pigeon,Leviticus,,,"12:6"

Animals,Quail,Exodus,,,"16:13"

Animals,Rat,Leviticus,,,"11:29"

Animals,Raven,Genesis,,,"8:7"
Animals,Raven,Leviticus,,,"11:15"
Animals,Raven,Deuteronomy,,,"14:14"
Animals,Raven,Job,,,"38:41"
Animals,Raven,Song of Songs,,,"5:11"
Animals,Raven,Isaiah,,,"34:11"

Animals,Roebuck,Deuteronomy,,,"14:5"

Animals,Serpent,Genesis,,,"3:1-2; 3:4; 3:13-15"
Animals,Serpent,Isaiah,,,"27:1"

Animals,Skink,Leviticus,,,"11:30"

Animals,Snail,Psalms,,,"58:8"

Animals,Stork,Leviticus,,,"11:19"
Animals,Stork,Deuteronomy,,,"14:18"
Animals,Stork,Psalms,,,"104:17"
Animals,Stork,Jeremiah,,,"8:7"
Animals,Stork,Zechariah,,,"5:9"

Animals,Swallow,Psalms,,,"84:3"
Animals,Swallow,Proverbs,,,"26:2"
Animals,Swallow,Isaiah,,,"38:14"
Animals,Swallow,Jeremiah,,,"8:7"

Animals,Turtledove,Genesis,,,"15:9"
Animals,Turtledove,Leviticus,,,"12:6"
Animals,Turtledove,Song of Songs,,,"2:12"
Animals,Turtledove,Jeremiah,,,"8:7"

Animals,Viper,Proverbs,,,"23:32"
Animals,Viper,Isaiah,,,"30:6; 59:5"
Animals,Viper,Acts,,,"28:3"
Animals,Weasel,Leviticus,,,"11:29"
